0000596,Vermont Upper Side Inn,2015-08-08 06:00:00,MX,1.08
0000861,Imperial Novelo Hotel,2015-08-08 07:00:00,CA,1.38
0000197,Barra Big River Motor Inn,2015-08-08 09:00:00,CA,1.5
0000730,Highway Imperial Motel,2015-08-08 10:00:00,US,1.51
0000936,Ibiza Senado Motor Inn,2015-08-08 10:00:00,US,1.62
0001050,Elegance Olinda Boarding House,2015-08-08 10:00:00,MX,0.54
0000357,Grand Copacabana Senado Motor Inn,2015-08-08 11:00:00,MX,1.62
0000768,Geronimo Eas Side Hotelo,2015-08-08 11:00:00,MX,1.71
0000156,Jon's Inn,2015-08-08 13:00:00,MX,0.5
0000719,Windsor Barra Pestana Hostel,2015-08-08 13:00:00,US,0.89
0000828,Asturias Hyatt la pensi??n,2015-08-08 13:00:00,CA,0.74
0000868,Majestic Casino,2015-08-08 13:00:00,CA,1.16
0000081,City Boarding House,2015-08-08 14:00:00,US,1.66
0001029,Windsor Olinda Motor Inn,2015-08-08 14:00:00,MX,1.29
0000565,Merlin Hostel,2015-08-08 16:00:00,US,1.5
0000931,Hyatt Jon's Barra Hotelo,2015-08-08 16:00:00,CA,2.01
0000926,Copacabana Mengo Windsor Casino,2015-08-08 20:00:00,MX,1.76
0000416,Sheraton Premier Premier Spa,2015-08-08 21:00:00,CA,0.79
0000456,Ibiza City Casino,2015-08-08 21:00:00,US,1.09
0000899,Eas Side Big River Hostel,2015-08-08 21:00:00,US,1.45
0000142,Mengo City la pensi??n,2015-08-08 23:00:00,CA,1.03
0000943,River Side Imperial Motel,2015-08-08 23:00:00,CA,1.48
0001178,Ibiza Hyatt Plaza,2015-08-09 00:00:00,MX,1.57
0000470,Moos' Geronimo Olinda Apartments,2015-08-09 01:00:00,CA,0.87
0000696,Saionara Highway Spa,2015-08-09 01:00:00,US,1.2
0001026,Merlin Suburbs Spa,2015-08-09 01:00:00,CA,1.67
0001076,Merlin Suburbs Moos' Granja,2015-08-09 01:00:00,MX,1.6
0001096,Upper Side Elegance Posada,2015-08-09 02:00:00,US,1.75
0000770,Down Town Big River Boarding House,2015-08-09 04:00:00,US,1.5
0000008,Geronimo Premier la pensi??n,2015-08-09 05:00:00,US,1.47
0000414,Down Town Sheraton Senado Posada,2015-08-09 05:00:00,CA,0.89
0000225,Barra Suburbs Slaviero Casa,2015-08-09 08:00:00,US,1.49
0000310,Jon's Hotel,2015-08-09 09:00:00,US,1.61
0000263,Mengo Grand la pensi??n,2015-08-09 11:00:00,MX,1.27
0000460,Eas Side Hotelo,2015-08-09 11:00:00,US,1.53
0000866,Tiny Imperial Mengo Casa,2015-08-09 11:00:00,US,1.79
0000094,Senado Moos' Posada,2015-08-09 12:00:00,MX,1.89
0000806,Asturias River Side Tavern,2015-08-09 12:00:00,MX,1.14
0000568,Geronimo Eas Side Casino,2015-08-09 14:00:00,CA,1.84
